DIFF\SKILL,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
5,98.7,99,98.8,98.9,99.4,99.6,99.9,99.7,99.8,99.6,100,99.9,100,100,99.9,100,100,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5.5,84.5,90.4,91.4,93.8,95.9,96.9,96.8,97.6,97.4,98.7,98.7,99.2,99.2,99.5,99.8,100,99.8,99.7,100,99.8,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,86,89.4,91.7,94.5,94.5,94.5,95.9,96.3,97.5,98.2,98.5,99,98.9,99.6,99.6,100,99.8,99.6,99.9,99.9,100,100,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6.5,61.5,66.7,71.8,79.3,82.6,85.7,88.1,91.5,92.8,93.9,96.1,95.9,97,97.8,98.7,98.1,98.8,99.4,99.8,99.6,99.8,99.6,100,99.9,100,100,100,99.9,100,100,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7,57.8,67.6,72.2,79.6,81.5,86.5,89.5,89,92.1,93.2,96.1,96.6,97.4,98.7,97.9,99.2,99.3,99.2,99.8,99.5,99.4,99.6,99.8,99.8,99.9,100,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7.5,21.2,33.1,41.5,52.1,55.4,62.7,68.6,73.59,75.9,82.4,86.1,89,90.6,93.2,95.3,96,96.4,97.4,97.7,98.7,98.9,99.2,99.6,99.3,99.5,99.6,99.9,99.9,99.9,100,99.9,100,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,14.09,21.6,30.8,37.29,43.6,51.5,56.39,62.4,67.2,71.09,78.8,82.3,85.6,88.4,92.1,94.8,94.8,95.4,96.9,98.2,98.4,98.1,98.7,99.1,99.8,99.8,99.8,99.8,100,100,100,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8.5,0.4,2.9,5,6.2,10.8,14.39,18.5,22.2,26.6,31.3,41.7,53,60.09,66.9,76.4,76.9,80.3,83.4,88.8,89.1,93.4,94.4,95.8,97,97.6,98,98.5,98.7,99.5,99.4,99.8,99.6,99.8,99.9,100,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,0.1,0.3,0.5,0.4,1.3,1.79,3.7,4.7,7.5,10.19,18.8,28.29,36.29,45.7,53.6,58.8,62.5,70.59,74.59,78.2,84.3,87.5,90.4,92.5,93.5,96.5,96.4,97.5,98.1,98.1,98.8,98.9,99.6,99.5,99.8,99.9,100,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9.5,0,0,0.1,0,0,0,0.1,0.2,0.6,0.3,1,3.3,6.8,11.89,14,20.3,25.6,29.29,36.1,40.6,49.4,58.5,68.5,74.5,79,82.5,86.3,89.7,89.3,93.7,95.1,95.3,96.3,98.8,99.2,99.1,99.3,99.2,99.4,99.8,100,99.6,99.9,99.9,99.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100
